,0,1,2,3,4
0,Цифр. код,Букв. код,Единиц,Валюта,Курс
1,036,AUD,1,Австралийский доллар,"42,9454"
2,944,AZN,1,Азербайджанский манат,"38,2678"
3,051,AMD,100,Армянских драмов,"13,5748"
4,933,BYN,1,Белорусский рубль,"29,1401"
5,975,BGN,1,Болгарский лев,"36,0614"
6,986,BRL,1,Бразильский реал,"14,7942"
7,348,HUF,100,Венгерских форинтов,"20,8901"
8,410,KRW,1000,Вон Республики Корея,"53,4715"
9,344,HKD,10,Гонконгских долларов,"83,3511"
10,208,DKK,10,Датских крон,"94,4049"
11,840,USD,1,Доллар США,"64,9213"
12,978,EUR,1,Евро,"70,4591"
13,356,INR,100,Индийских рупий,"90,3787"
14,398,KZT,100,Казахстанских тенге,"17,2127"
15,124,CAD,1,Канадский доллар,"48,8755"
16,417,KGS,100,Киргизских сомов,"92,9077"
17,156,CNY,10,Китайских юаней,"92,5319"
18,498,MDL,10,Молдавских леев,"36,3705"
19,934,TMT,1,Новый туркменский манат,"18,5755"
20,578,NOK,10,Норвежских крон,"69,5245"
21,985,PLN,1,Польский злотый,"16,4071"
22,946,RON,1,Румынский лей,"14,6672"
23,960,XDR,1,СДР (специальные права заимствования),"88,5033"
24,702,SGD,1,Сингапурский доллар,"46,4620"
25,972,TJS,10,Таджикских сомони,"66,9982"
26,949,TRY,1,Турецкая лира,"10,5952"
27,860,UZS,10000,Узбекских сумов,"68,1088"
28,980,UAH,10,Украинских гривен,"26,4712"
29,826,GBP,1,Фунт стерлингов Соединенного королевства,"84,1250"
30,203,CZK,10,Чешских крон,"27,9532"
31,752,SEK,10,Шведских крон,"66,7784"
32,756,CHF,1,Швейцарский франк,"66,3817"
33,710,ZAR,10,Южноафриканских рэндов,"42,9538"
34,392,JPY,100,Японских иен,"58,6965"
