,0,1,2,3,4
0,Дата*,Золото,Серебро,Платина,Палладий
1,21.02.2020,"3 300,1400","37,5900","2 041,1300","5 543,4300"
2,20.02.2020,"3 295,6000","36,6200","2 084,4500","5 704,5900"
3,19.02.2020,"3 256,2000","36,4900","2 009,2400","5 211,7200"
4,18.02.2020,"3 216,5600","36,0400","1 970,2800","5 029,5100"
5,15.02.2020,"3 215,8800","35,9900","1 982,9600","4 979,8300"
6,14.02.2020,"3 220,6200","35,9100","1 973,2700","4 907,6100"
7,13.02.2020,"3 175,8100","35,8900","1 958,0900","4 745,2200"
8,12.02.2020,"3 223,2000","36,5700","1 984,0500","4 788,4400"
9,11.02.2020,"3 227,2400","36,4300","1 988,7700","4 853,0100"
10,08.02.2020,"3 200,3800","36,2500","1 977,4100","4 771,0900"
11,07.02.2020,"3 159,2200","35,5700","1 970,5400","4 873,8500"
12,06.02.2020,"3 152,6700","36,0100","1 972,1900","5 043,2100"
13,05.02.2020,"3 204,3900","36,2400","1 998,6700","4 902,8500"
14,04.02.2020,"3 244,1000","36,7500","1 956,1000","4 686,8200"
15,01.02.2020,"3 209,0400","35,9800","1 977,1700","4 668,8800"
16,31.01.2020,"3 202,9200","35,4100","1 967,8800","4 600,4900"
17,30.01.2020,"3 151,8200","36,0600","1 989,9400","4 661,9300"
18,29.01.2020,"3 190,8300","36,9600","1 987,7100","4 607,6800"
19,28.01.2020,"3 173,5700","35,7400","1 990,1800","4 764,0100"
20,25.01.2020,"3 103,4200","34,9700","1 994,9600","4 894,0200"
21,24.01.2020,"3 095,3300","35,3900","1 999,7500","4 937,6400"
22,23.01.2020,"3 097,5300","35,7500","1 986,0300","4 805,0400"
23,22.01.2020,"3 094,9000","35,9100","2 000,6200","4 904,1100"
24,21.01.2020,"3 081,3200","35,6900","2 025,5600","5 084,6500"
25,18.01.2020,"3 079,2900","35,6300","2 009,9900","4 684,7100"
26,17.01.2020,"3 078,5200","35,3300","2 044,8200","4 683,5000"
27,16.01.2020,"3 065,1700","35,1000","1 971,1600","4 317,5900"
28,15.01.2020,"3 050,5100","35,5100","1 911,3200","4 239,2600"
29,14.01.2020,"3 037,9200","35,1000","1 896,8000","4 148,2700"
30,11.01.2020,"3 050,6000","35,2800","1 916,4800","4 175,6700"
31,10.01.2020,"3 047,2800","36,2600","1 878,1600","4 173,6800"
32,01.01.2020,"3 031,2500","35,4800","1 932,5900","3 821,4000"
33,31.12.2019,"3 008,3600","35,4800","1 896,7700","3 795,5300"
34,28.12.2019,"3 012,6800","35,0700","1 894,6400","3 785,2900"
35,27.12.2019,"2 960,6400","34,9200","1 856,7900","3 725,5000"
36,26.12.2019,"2 958,1800","34,8900","1 855,2500","3 722,4100"
37,25.12.2019,"2 979,8000","34,7300","1 868,8100","3 749,6100"
38,24.12.2019,"2 969,9500","34,0900","1 845,2700","3 764,5900"
39,21.12.2019,"2 963,3000","33,9900","1 867,9900","3 890,4700"
40,20.12.2019,"2 964,0300","34,1700","1 863,5800","3 871,9000"
41,19.12.2019,"2 975,6800","34,3300","1 871,2500","3 895,4100"
42,18.12.2019,"2 972,2800","34,2200","1 869,7400","4 000,8300"
43,17.12.2019,"2 981,4800","34,1800","1 880,8300","3 957,4100"
44,14.12.2019,"2 957,6300","33,9200","1 886,4800","3 959,9900"
45,13.12.2019,"2 997,7000","33,8700","1 910,7900","3 917,1100"
46,12.12.2019,"3 000,2100","34,0800","1 878,1300","3 880,9300"
47,11.12.2019,"2 993,4900","33,9700","1 843,7800","3 842,9200"
48,10.12.2019,"2 998,6000","34,7100","1 823,4200","3 845,5700"
49,07.12.2019,"3 021,3700","34,5600","1 837,5900","3 826,7800"
50,06.12.2019,"3 025,3600","35,1400","1 823,9200","3 816,0700"
51,05.12.2019,"3 046,0200","35,1100","1 874,0300","3 836,8100"
52,04.12.2019,"3 032,1900","34,8000","1 858,0000","3 837,6600"
53,03.12.2019,"3 018,2200","35,1300","1 853,3800","3 812,3800"
54,30.11.2019,"3 000,4800","34,9100","1 843,9400","3 790,9000"
55,29.11.2019,"3 003,8300","35,1500","1 838,3000","3 777,5900"
56,28.11.2019,"3 002,4500","34,8300","1 853,1300","3 710,3800"
57,27.11.2019,"3 000,4500","34,7300","1 850,5100","3 717,5000"
58,26.11.2019,"2 991,9400","35,2100","1 830,6900","3 661,3900"
59,23.11.2019,"3 013,7000","35,0100","1 866,0200","3 625,5400"
60,22.11.2019,"3 015,0600","35,1300","1 871,9700","3 620,7800"
61,21.11.2019,"3 037,4800","35,2500","1 877,2000","3 635,0100"
62,20.11.2019,"3 003,5500","34,4400","1 835,0600","3 528,6500"
63,19.11.2019,"2 989,3500","34,5800","1 807,8700","3 509,1600"
64,16.11.2019,"3 010,4100","34,9900","1 799,3500","3 557,6100"
65,15.11.2019,"3 029,8200","34,9900","1 806,3500","3 573,4800"
66,14.11.2019,"3 020,7100","34,5400","1 804,0300","3 539,9400"
67,13.11.2019,"2 987,0000","34,6500","1 802,4600","3 492,0200"
68,12.11.2019,"3 011,3400","34,5400","1 816,4600","3 534,2900"
69,09.11.2019,"3 005,5000","35,9200","1 831,7600","3 663,5200"
70,08.11.2019,"3 040,8600","35,9400","1 909,6300","3 681,9800"
71,07.11.2019,"3 043,1900","36,8900","1 897,2000","3 632,9000"
72,06.11.2019,"3 059,5600","36,9800","1 903,3300","3 631,7800"
73,02.11.2019,"3 108,2700","37,1700","1 918,6700","3 689,1200"
74,01.11.2019,"3 088,7300","36,8200","1 898,6800","3 696,8800"
75,31.10.2019,"3 060,1400","36,2700","1 891,3400","3 665,6300"
76,30.10.2019,"3 063,4900","37,0500","1 879,8600","3 694,0400"
77,29.10.2019,"3 090,5700","37,2200","1 905,6200","3 661,3300"
78,26.10.2019,"3 095,8700","37,2900","1 909,3900","3 652,1300"
79,25.10.2019,"3 056,8300","35,9900","1 886,8400","3 580,6900"
80,24.10.2019,"3 065,0200","35,9700","1 835,8300","3 595,7600"
81,23.10.2019,"3 043,1200","36,0600","1 816,7300","3 592,5400"
82,22.10.2019,"3 056,1700","36,3400","1 830,6000","3 612,0100"
83,19.10.2019,"3 058,5600","35,8500","1 815,6000","3 606,5300"
84,18.10.2019,"3 055,1600","35,9100","1 815,2500","3 640,8000"
85,17.10.2019,"3 067,0300","35,7000","1 830,8500","3 603,7700"
86,16.10.2019,"3 087,9100","36,5000","1 842,7300","3 565,6400"
87,15.10.2019,"3 092,0800","36,4300","1 843,8200","3 520,0300"
88,12.10.2019,"3 093,8500","36,3400","1 862,4800","3 522,6100"
89,11.10.2019,"3 139,3000","36,9500","1 852,5300","3 505,2300"
90,10.10.2019,"3 146,5200","37,2100","1 856,4300","3 472,1800"
91,09.10.2019,"3 128,2900","36,6100","1 837,3500","3 397,3200"
92,08.10.2019,"3 130,7800","36,3200","1 823,6700","3 443,1000"
93,05.10.2019,"3 156,0000","36,8100","1 848,2300","3 472,7500"
94,04.10.2019,"3 149,4000","36,8500","1 863,6700","3 545,1700"
95,03.10.2019,"3 122,3500","36,3100","1 838,8400","3 460,9800"
96,02.10.2019,"3 067,0100","35,7900","1 843,0100","3 487,2800"
97,01.10.2019,"3 091,6000","35,8600","1 922,3800","3 514,3100"
98,28.09.2019,"3 098,5400","36,2800","1 923,9700","3 427,5200"
99,27.09.2019,"3 114,9700","37,1400","1 918,1100","3 406,3000"
